startdat,enddate,aex1_1,aex1_2,aex1_3,aex1_4,aex1_5,aex1_6,aex1_7,aex1_8,aex1_9,aex1_9_t,aex1_10,aex1_11,aex2,aex3,complete,qflag,ppage,ppeducat,ppeduc5,ppethm,ppgender,pphhsize,pphouse4,ppinc7,ppmarit5,ppmsacat,ppreg4,pprent,ppemploy,ppstaten,ppt18ov,ppkid017,ppreg9,sstno,partyid4,ind1,ppcm0006,pprent_n,ppcm0166,urb_sub_,msc,ppracem,core_par,weights
9/18/2021 7:34:53,9/18/2021 7:51:00,Dinosaurs,Woolly Mammoths,Dodo birds,Mastodon,Saber-Toothed Tigers,Tasmanian Tigers,Northern White Rhinoceros,Giant Tortoise,Other (Please specify),Passenger pigeon,Not selected,Not selected,Not very concerned,Yes,qualified,1,69,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Male,2,One-family house detached from any other house,"$50,000 to $74,999",Now married,Non-metro area,Midwest,Owned or being bought by you or someone in,Working part-time,MI,2,0,East-North Central,70,Republican,Public Administration,You do most of it,Owned by you or someone in your household free and clear (without a mortgage or loan),2-9,Rural,Not in an MSA,White,No,.670697
9/17/2021 18:09:00,9/17/2021 18:25:17,Not selected,Not selected,Dodo birds,Not selected,Not selected,Not selected,Not selected,Not selected,Other (Please specify),Other birds that were killed off due to not conserving...dinos still exist.,Not selected,Not selected,Not very concerned,No,qualified,1,38,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,5,One-family house detached from any other house,"$50,000 to $74,999",Now married,Metro area,Northeast,Rented for cash,Not working,NY,2,3,Mid-Atlantic,70,Republican,Not asked,Someone else does all of it,Rented,Not asked,Urban,In the center city of an MSA,White,Yes,1.0827222
9/17/2021 17:12:42,9/17/2021 17:35:40,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (Please specify),Neanderthal,Not selected,Not selected,Very concerned,Yes,qualified,1,42,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,2,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,West,Rented for cash,Working full-time,CA,2,0,Pacific,70,Independent,Education and Tutoring,You do most of it,Rented,1000-2499,Urban,In the center city of an MSA,White,No,.7359729
9/18/2021 5:12:48,9/18/2021 5:18:31,Not selected,Woolly Mammoths,Not selected,Not selected,Not selected,Tasmanian Tigers,Northern White Rhinoceros,Giant Tortoise,Other (Please specify),Ivory-billed Woodpecker,Not selected,Not selected,Very concerned,Yes,qualified,1,47,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,3,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,South,Owned or being bought by you or someone in,Working full-time,VA,2,1,South Atlantic,70,Democrat,Education and Tutoring,You do about half of it,Owned by you or someone in your household with a mortgage or loan,5000+,Urban,Outside the center city of an MSA but inside the county containing the center city,White,Yes,.6449945
9/19/2021 11:35:58,9/19/2021 11:51:40,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (Please specify),Honest politicians,Not selected,Not selected,Not very concerned,I’m not sure,qualified,1,76,Less than HS,No high school diploma or GED,"Other, Non-Hispanic",Female,2,One-family house detached from any other house,"$75,000 to $99,999",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Not working,OH,2,0,East-North Central,70,Independent,Not asked,You do all of it,Owned by you or someone in your household free and clear (without a mortgage or loan),Not asked,Rural,Outside the center city of an MSA but inside the county containing the center city,Asian,No,2.2211006
9/17/2021 19:17:13,9/17/2021 19:31:11,Not selected,Not selected,Not selected,Mastodon,Not selected,Not selected,Northern White Rhinoceros,Not selected,Other (Please specify),Giant sloth,Not selected,Not selected,Not at all concerned,No,qualified,1,38,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,4,One-family house detached from any other house,"$50,000 to $74,999",Now married,Metro area,South,Owned or being bought by you or someone in,Working full-time,NC,2,2,South Atlantic,70,Independent,"Professional, Scientific, Technical, and Business Services",You do about half of it,Owned by you or someone in your household with a mortgage or loan,100-249,Suburban,Outside the center city of an MSA but inside the county containing the center city,White,Yes,.6663791
9/17/2021 18:39:00,9/17/2021 22:07:36,Not selected,Woolly Mammoths,Not selected,Not selected,Not selected,Not selected,Northern White Rhinoceros,Giant Tortoise,Other (Please specify),First ask if we should!!! Before we do,Not selected,Not selected,Very concerned,I’m not sure,qualified,1,27,Bachelor or higher,Bachelor’s degree,Hispanic,Male,2,One-family house detached from any other house,"$100,000 to $149,999",Never married,Metro area,West,Rented for cash,Working full-time,CO,2,0,Mountain,70,Democrat,"Professional, Scientific, Technical, and Business Services","Someone else does most of it, you do some of it",Rented,5000+,Suburban,Outside the center city of an MSA but inside the county containing the center city,White,No,1.4982246
9/17/2021 20:11:44,9/17/2021 20:21:29,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (Please specify),Carrier pigeon,Not selected,Not selected,Somewhat concerned,I’m not sure,qualified,1,28,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Male,1,Building with 2 or more apartments,"$50,000 to $74,999",Never married,Metro area,Midwest,Rented for cash,Working full-time,OH,1,0,East-North Central,70,Democrat,"Finance, Banking, and Insurance",You do all of it,Rented,2500-5000,Suburban,Outside the center city of an MSA but inside the county containing the center city,White,No,.8761275
9/18/2021 9:07:18,9/18/2021 9:13:50,Not selected,Woolly Mammoths,Dodo birds,Not selected,Not selected,Not selected,Not selected,Giant Tortoise,Other (Please specify),Carolina parakeet,Not selected,Not selected,Somewhat concerned,Yes,qualified,1,26,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Male,1,Building with 2 or more apartments,"$100,000 to $149,999",Never married,Metro area,South,Rented for cash,Working full-time,NC,1,0,South Atlantic,70,Democrat,"Information (including Publishing, Media, Telecom, Internet Search, and Social Networking)",You do all of it,Rented,2500-5000,Urban,In the center city of an MSA,White,No,.9376679
9/17/2021 19:09:47,9/17/2021 19:23:16,Not selected,Not selected,Not selected,Not selected,Not selected,Tasmanian Tigers,Northern White Rhinoceros,Giant Tortoise,Other (Please specify),Carolina parakeet,Not selected,Not selected,Very concerned,I’m not sure,qualified,1,72,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,South,Owned or being bought by you or someone in,Not working,FL,2,0,South Atlantic,70,Independent,Not asked,You do most of it,Owned by you or someone in your household free and clear (without a mortgage or loan),Not asked,Suburban,Inside a suburban county of the MSA,White,No,.750087
9/17/2021 17:21:47,9/17/2021 17:44:42,Not selected,Woolly Mammoths,Dodo birds,Mastodon,Not selected,Tasmanian Tigers,Northern White Rhinoceros,Giant Tortoise,Other (Please specify),As many as we lost in last 100 years,Not selected,Not selected,Very concerned,Yes,qualified,1,54,Less than HS,No high school diploma or GED,"White, Non-Hispanic",Female,2,"Other (mobile home, boat, RV, van, etc.)","$10,000 to $24,999",Separated,Non-metro area,West,Owned or being bought by you or someone in,Not working,NV,2,0,Mountain,70,Republican,Not asked,You do about half of it,Owned by you or someone in your household with a mortgage or loan,Not asked,Urban,Not in an MSA,White,No,1.2784693
9/17/2021 17:23:20,9/17/2021 19:45:20,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Northern White Rhinoceros,Not selected,Other (Please specify),Anything useful,Not selected,Not selected,Very concerned,Yes,qualified,1,43,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Male,5,One-family condo or townhouse attached to other units,"$100,000 to $149,999",Now married,Metro area,South,Rented for cash,Working full-time,TX,2,3,West-South Central,70,Something else,Armed Forces,"Someone else does most of it, you do some of it",Rented,5000+,Suburban,Outside the center city of an MSA but inside the county containing the center city,White,Yes,.7353292
9/17/2021 17:10:27,9/17/2021 17:18:27,Not selected,Not selected,Dodo birds,Not selected,Not selected,Tasmanian Tigers,Not selected,Not selected,Other (Please specify),Anything not dangerous.,Not selected,Not selected,Not very concerned,I’m not sure,qualified,1,28,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,1,Building with 2 or more apartments,"$150,000 or more",Never married,Metro area,West,Rented for cash,Working full-time,CA,1,0,Pacific,70,Republican,"Professional, Scientific, Technical, and Business Services",You do all of it,Rented,5000+,Urban,In the center city of an MSA,White,No,.9384887
9/17/2021 23:40:07,9/18/2021 0:03:38,Dinosaurs,Woolly Mammoths,Dodo birds,Mastodon,Saber-Toothed Tigers,Tasmanian Tigers,Northern White Rhinoceros,Giant Tortoise,Other (Please specify),All/any,Not selected,Not selected,Somewhat concerned,I’m not sure,qualified,1,27,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,5,One-family house detached from any other house,"$100,000 to $149,999",Never married,Metro area,Midwest,Owned or being bought by you or someone in,Working full-time,WI,3,2,East-North Central,70,Independent,"Factory, Manufacturing, and Woodworking","Someone else does most of it, you do some of it",Owned by you or someone in your household with a mortgage or loan,500-999,Suburban,Outside the center city of an MSA but inside the county containing the center city,White,No,1.2512873
9/17/2021 21:05:52,9/17/2021 21:24:24,Not selected,Not selected,Dodo birds,Not selected,Not selected,Tasmanian Tigers,Northern White Rhinoceros,Giant Tortoise,Other (Please specify),Amazon dolphin,Not selected,Not selected,Very concerned,Yes,qualified,1,54,Bachelor or higher,Bachelor’s degree,Hispanic,Male,4,One-family house detached from any other house,"$50,000 to $74,999",Now married,Metro area,South,Owned or being bought by you or someone in,Working full-time,NC,4,0,South Atlantic,70,Democrat,"Health Care (including Elder Care, Home Health Care)",You do about half of it,Owned by you or someone in your household free and clear (without a mortgage or loan),5000+,Suburban,Outside the center city of an MSA but inside the county containing the center city,White,No,.9331328
9/19/2021 13:45:15,9/19/2021 14:00:02,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (Please specify),All/any,Not selected,Not selected,Somewhat concerned,I’m not sure,qualified,1,43,Less than HS,No high school diploma or GED,"White, Non-Hispanic",Male,1,Building with 2 or more apartments,"$10,000 to $24,999",Never married,Metro area,Midwest,Rented for cash,Working full-time,IL,1,0,East-North Central,70,Something else,Accommodation and Food Services,You do all of it,Rented,5000+,Suburban,Inside a suburban county of the MSA,White,No,1.4521716
9/17/2021 17:11:03,9/17/2021 17:30:13,Dinosaurs,Woolly Mammoths,Dodo birds,Mastodon,Saber-Toothed Tigers,Tasmanian Tigers,Northern White Rhinoceros,Giant Tortoise,Other (Please specify),All/any,Not selected,Not selected,Somewhat concerned,I’m not sure,qualified,1,46,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,4,Building with 2 or more apartments,"$100,000 to $149,999",Now married,Metro area,South,Rented for cash,Working full-time,GA,2,2,South Atlantic,70,Independent,"Professional, Scientific, Technical, and Business Services",You do about half of it,Rented,2-9,Urban,In the center city of an MSA,White,Yes,.6271746
9/17/2021 18:57:53,9/17/2021 19:29:22,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (Please specify),All of the above,Not selected,Not selected,Somewhat concerned,Yes,qualified,1,32,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,1,Building with 2 or more apartments,"$50,000 to $74,999",Divorced,Metro area,South,Rented for cash,Working full-time,TX,1,0,West-South Central,70,Independent,Education and Tutoring,You do all of it,Rented,500-999,Suburban,Outside the center city of an MSA but inside the county containing the center city,White,No,.6663791
9/18/2021 10:33:43,9/18/2021 10:49:15,Not selected,Not selected,Dodo birds,Not selected,Not selected,Not selected,Not selected,Not selected,Other (Please specify),All made extinct by human intervention,Not selected,Not selected,Somewhat concerned,I’m not sure,qualified,1,69,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,4,One-family house detached from any other house,"$25,000 to $49,999",Now married,Metro area,Northeast,Owned or being bought by you or someone in,Not working,NY,4,0,Mid-Atlantic,70,Independent,Not asked,"Someone else does most of it, you do some of it",Owned by you or someone in your household free and clear (without a mortgage or loan),Not asked,Suburban,Outside the center city of an MSA but inside the county containing the center city,White,No,.6785545
9/19/2021 13:41:21,9/19/2021 13:53:09,Dinosaurs,Woolly Mammoths,Dodo birds,Mastodon,Saber-Toothed Tigers,Tasmanian Tigers,Northern White Rhinoceros,Giant Tortoise,Other (Please specify),All/any,Not selected,Not selected,Very concerned,I’m not sure,qualified,1,28,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,5,One-family house detached from any other house,"$100,000 to $149,999",Never married,Metro area,West,Owned or being bought by you or someone in,Working part-time,CA,5,0,Pacific,70,Independent,"Arts, Entertainment, and Recreation","Someone else does most of it, you do some of it",Owned by you or someone in your household with a mortgage or loan,2-9,Suburban,Outside the center city of an MSA but inside the county containing the center city,White,No,1.181111
9/17/2021 22:05:54,9/17/2021 22:18:01,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (Please specify),All/any,Not selected,Not selected,Very concerned,I’m not sure,qualified,1,48,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Male,2,Building with 2 or more apartments,"$10,000 to $24,999",Now married,Metro area,Northeast,Rented for cash,Not working,MA,2,0,New England,70,Something else,Not asked,You do most of it,Rented,Not asked,Suburban,Inside a suburban county of the MSA,White,No,.7807116
9/17/2021 22:34:11,9/17/2021 22:51:32,Not selected,Woolly Mammoths,Not selected,Mastodon,Not selected,Not selected,Northern White Rhinoceros,Giant Tortoise,Not selected,Not selected,Not selected,Not selected,Somewhat concerned,No,qualified,1,72,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,1,One-family house detached from any other house,"$75,000 to $99,999",Now married,Non-metro area,West,Owned or being bought by you or someone in,Working part-time,CA,1,0,Pacific,70,Republican,"Health Care (including Elder Care, Home Health Care)","Someone else does most of it, you do some of it",Owned by you or someone in your household free and clear (without a mortgage or loan),100-249,Suburban,Not in an MSA,White,No,.8188431
9/17/2021 17:39:45,9/17/2021 17:53:40,Dinosaurs,Woolly Mammoths,Dodo birds,Mastodon,Saber-Toothed Tigers,Tasmanian Tigers,Northern White Rhinoceros,Giant Tortoise,Not selected,Not selected,Not selected,Not selected,Very concerned,Yes,qualified,1,62,Less than HS,No high school diploma or GED,"2+ races, Non-Hispanic",Female,2,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,South,Owned or being bought by you or someone in,Not working,AR,2,0,West-South Central,70,Independent,Not asked,You do all of it,Owned by you or someone in your household free and clear (without a mortgage or loan),Not asked,Rural,Outside the center city of an MSA but inside the county containing the center city,2+ races,No,1.1473489
9/19/2021 8:25:40,9/19/2021 8:35:34,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I don’t know,Not selected,Somewhat concerned,I’m not sure,qualified,1,47,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,3,"Other (mobile home, boat, RV, van, etc.)","$100,000 to $149,999",Divorced,Metro area,South,Owned or being bought by you or someone in,Working full-time,TX,3,0,West-South Central,70,Something else,Retail/Stores/Shopping (including Online Retail),"Someone else does most of it, you do some of it",Owned by you or someone in your household free and clear (without a mortgage or loan),5000+,Rural,Outside the center city of an MSA but inside the county containing the center city,White,No,.8383522
9/18/2021 5:59:39,9/18/2021 6:12:20,Not selected,Not selected,Not selected,Not selected,Not selected,Tasmanian Tigers,Not selected,Giant Tortoise,Not selected,Not selected,Not selected,Not selected,Somewhat concerned,I’m not sure,qualified,1,51,HS,High school graduate (high school diploma or the equivalent GED),"Black or African American, Non-Hispanic",Female,2,One-family condo or townhouse attached to other units,"$25,000 to $49,999",Divorced,Metro area,Midwest,Rented for cash,Not working,MI,1,1,East-North Central,70,Independent,Not asked,You do all of it,Rented,Not asked,Urban,In the center city of an MSA,Black or African American,Yes,1.1104846
9/18/2021 8:47:44,9/18/2021 9:00:42,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I don’t know,Not selected,Very concerned,Yes,qualified,1,57,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$25,000 to $49,999",Now married,Non-metro area,West,Owned or being bought by you or someone in,Not working,NV,2,0,Mountain,70,Democrat,Not asked,You do all of it,Owned by you or someone in your household with a mortgage or loan,Not asked,Suburban,Not in an MSA,White,No,.7585633
9/18/2021 10:59:28,9/18/2021 11:18:17,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I wouldn’t want to bring any species back,Not at all concerned,No,qualified,1,82,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,2,One-family house detached from any other house,"$75,000 to $99,999",Now married,Metro area,West,Owned or being bought by you or someone in,Not working,UT,2,0,Mountain,70,Republican,Not asked,"Someone else does most of it, you do some of it",Owned by you or someone in your household free and clear (without a mortgage or loan),Not asked,Suburban,Inside a suburban county of the MSA,White,No,.7188166
9/18/2021 8:35:55,9/18/2021 8:45:13,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I wouldn’t want to bring any species back,Somewhat concerned,No,qualified,1,74,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Male,1,One-family house detached from any other house,"$10,000 to $24,999",Widowed,Non-metro area,South,Owned or being bought by you or someone in,Not working,GA,1,0,South Atlantic,70,Independent,Not asked,You do all of it,Owned by you or someone in your household free and clear (without a mortgage or loan),Not asked,Rural,Not in an MSA,White,No,.7555544
9/19/2021 10:29:58,9/19/2021 10:40:30,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I don’t know,Not selected,Somewhat concerned,I’m not sure,qualified,1,63,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Male,3,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,South,Owned or being bought by you or someone in,Working full-time,AR,2,1,West-South Central,70,Independent,Education and Tutoring,You do about half of it,Owned by you or someone in your household free and clear (without a mortgage or loan),500-999,Suburban,Inside a suburban county of the MSA,White,No,.697192
9/18/2021 10:29:26,9/18/2021 10:43:13,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I wouldn’t want to bring any species back,Very concerned,No,qualified,1,74,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$25,000 to $49,999",Now married,Non-metro area,West,Owned or being bought by you or someone in,Not working,OR,2,0,Pacific,70,Republican,Not asked,You do most of it,Owned by you or someone in your household with a mortgage or loan,Not asked,Rural,Not in an MSA,White,No,.954039
9/18/2021 15:52:52,9/18/2021 16:15:30,Not selected,Not selected,Not selected,Not selected,Not selected,Tasmanian Tigers,Northern White Rhinoceros,Giant Tortoise,Not selected,Not selected,Not selected,Not selected,Very concerned,I’m not sure,qualified,1,78,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$50,000 to $74,999",Now married,Metro area,West,Owned or being bought by you or someone in,Not working,CA,2,0,Pacific,70,Democrat,Not asked,Someone else does all of it,Owned by you or someone in your household free and clear (without a mortgage or loan),Not asked,Suburban,Outside the center city of an MSA but inside the county containing the center city,White,No,.643274
9/19/2021 12:58:11,9/19/2021 13:11:20,Dinosaurs,Woolly Mammoths,Not selected,Mastodon,Saber-Toothed Tigers,Not selected,Northern White Rhinoceros,Giant Tortoise,Not selected,Not selected,Not selected,Not selected,Very concerned,I’m not sure,qualified,1,74,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$25,000 to $49,999",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Not working,IA,2,0,West-North Central,70,Democrat,Not asked,You do most of it,Owned by you or someone in your household with a mortgage or loan,Not asked,Urban,In the center city of an MSA,White,No,.954573
9/17/2021 18:50:00,9/17/2021 19:01:22,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,I wouldn’t want to bring any species back,Not at all concerned,I’m not sure,qualified,1,56,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,1,One-family house detached from any other house,"$150,000 or more",Divorced,Metro area,West,Owned or being bought by you or someone in,Working full-time,WA,1,0,Pacific,70,Republican,Real Estate and Property Management,You do most of it,Owned by you or someone in your household free and clear (without a mortgage or loan),100-249,Suburban,Outside the center city of an MSA but inside the county containing the center city,White,No,.839086
9/18/2021 21:56:04,9/18/2021 22:03:07,Dinosaurs,Woolly Mammoths,Not selected,Not selected,Not selected,Not selected,Not selected,Giant Tortoise,Not selected,Not selected,Not selected,Not selected,Somewhat concerned,I’m not sure,qualified,1,27,Bachelor or higher,Master’s degree or above,"Other, Non-Hispanic",Male,3,One-family house detached from any other house,"$150,000 or more",Never married,Metro area,Northeast,Owned or being bought by you or someone in,Working full-time,NJ,3,0,Mid-Atlantic,70,Democrat,"Finance, Banking, and Insurance",Someone else does all of it,Owned by you or someone in your household with a mortgage or loan,2500-5000,Suburban,Outside the center city of an MSA but inside the county containing the center city,Asian,No,1.8976387
